# soak.py — pont Telegram (pont.py) — relance dans tmux apres mort du premier soak a 2h28
# debut_utc	2026-09-22T15:04:03Z
# duree_demandee_h	720.00
# fin_prevue_utc	2026-10-22T15:04:03Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T17:39:03Z	9300	781853	1	18984	30244	1	4	0	6106	0	0	0.32	
2026-09-22T17:40:03Z	9360	781853	1	18984	30244	1	4	0	6106	0	0	0.12	
2026-09-22T17:41:03Z	9420	781853	1	18984	30244	1	4	0	6106	0	0	0.20	
2026-09-22T17:42:03Z	9480	781853	1	18984	30244	1	4	0	6107	0	0	0.07	
2026-09-22T17:43:03Z	9540	781853	1	18984	30244	1	4	0	6107	0	0	0.02	
2026-09-22T17:44:03Z	9600	781853	1	18984	30244	1	4	0	6107	0	0	0.41	
2026-09-22T17:45:03Z	9660	781853	1	18984	30244	1	4	0	6109	0	0	0.15	
2026-09-22T17:46:03Z	9720	781853	1	18984	30244	1	4	0	6109	0	0	0.05	
2026-09-22T17:47:03Z	9780	781853	1	18984	30244	1	4	0	6109	0	0	0.02	
2026-09-22T17:48:03Z	9840	781853	1	18984	30244	1	4	0	6110	0	0	0.00	
2026-09-22T17:49:03Z	9900	781853	1	18984	30244	1	4	0	6110	0	0	0.08	
2026-09-22T17:50:03Z	9960	781853	1	18984	30244	1	4	0	6110	0	0	0.03	
2026-09-22T17:51:03Z	10020	781853	1	18984	30244	1	4	0	6111	0	0	0.17	
2026-09-22T17:52:03Z	10080	781853	1	18984	30244	1	4	0	6111	0	0	0.06	
2026-09-22T17:53:03Z	10140	781853	1	18984	30244	1	4	0	6111	0	0	0.07	
2026-09-22T17:54:03Z	10200	781853	1	18984	30244	1	4	0	6112	0	0	0.02	
2026-09-22T17:55:03Z	10260	781853	1	18984	30244	1	4	0	6113	0	0	0.01	
2026-09-22T17:56:03Z	10320	781853	1	18984	30244	1	4	0	6113	0	0	0.00	
2026-09-22T17:57:03Z	10380	781853	1	18984	30244	1	4	0	6114	0	0	0.00	
2026-09-22T17:58:03Z	10440	781853	1	18984	30244	1	4	0	6114	0	0	0.00	
2026-09-22T17:59:03Z	10500	781853	1	18984	30244	1	4	0	6114	0	0	0.00	
2026-09-22T18:00:03Z	10560	781853	1	18984	30244	1	4	0	6115	0	0	0.00	
2026-09-22T18:01:03Z	10620	781853	1	18984	30244	1	4	0	6115	0	0	0.00	
2026-09-22T18:02:03Z	10680	781853	1	18984	30244	1	4	0	6115	0	0	0.00	
2026-09-22T18:03:03Z	10740	781853	1	18984	30244	1	4	0	6117	0	0	0.00	
2026-09-22T18:04:03Z	10800	781853	1	18984	30244	1	4	0	6117	0	0	0.00	
2026-09-22T18:05:03Z	10860	781853	1	18984	30244	1	4	0	6118	0	0	0.00	
2026-09-22T18:06:03Z	10920	781853	1	18984	30244	1	4	0	6118	0	0	0.00	
2026-09-22T18:07:03Z	10980	781853	1	18984	30244	1	4	0	6118	0	0	0.00	
2026-09-22T18:08:03Z	11040	781853	1	18984	30244	1	4	0	6119	0	0	0.14	
2026-09-22T18:09:03Z	11100	781853	1	18984	30244	1	4	0	6119	0	0	0.05	
2026-09-22T18:10:03Z	11160	781853	1	18984	30244	1	4	0	6120	0	0	0.07	
2026-09-22T18:11:03Z	11220	781853	1	18984	30244	1	4	0	6120	0	0	0.02	
2026-09-22T18:12:03Z	11280	781853	1	18984	30244	1	4	0	6120	0	0	0.01	
2026-09-22T18:13:03Z	11340	781853	1	18984	30244	1	4	0	6120	0	0	0.00	
2026-09-22T18:14:03Z	11400	781853	1	18984	30244	1	4	0	6121	0	0	0.08	
2026-09-22T18:15:03Z	11460	781853	1	18984	30244	1	4	0	6121	0	0	0.03	
2026-09-22T18:16:03Z	11520	781853	1	18984	30244	1	4	0	6122	0	0	0.01	
2026-09-22T18:17:03Z	11580	781853	1	18984	30244	1	4	0	6122	0	0	0.00	
2026-09-22T18:18:03Z	11640	781853	1	18984	30244	1	4	0	6122	0	0	0.00	
